model,task,metric_name,mean,std
naive_bayes,classification,Accuracy,0.5153550840910441,0.016350309897628475
naive_bayes,classification,Precision,0.5138265080145772,0.029845670066388347
naive_bayes,classification,Recall,0.5153550840910441,0.016350309897628475
naive_bayes,classification,F1_Weighted,0.46372565200940946,0.05568240803658167
naive_bayes,classification,Kappa,0.03096234271434122,0.0323025692903348
naive_bayes,classification,AUC,0.5185807323765348,0.01059672389619739
elastic_net,regression,MAE,9.071906584062146,0.09626318685286676
elastic_net,regression,RMSE,11.146364983971152,0.12645922052473826
elastic_net,regression,R2,0.0731631686350239,0.01745794722620874
elastic_net,regression,CCC,0.11924199707311622,0.01025370843020469
elastic_net,classification,Accuracy,0.5119637091182822,0.012665232968220188
elastic_net,classification,Precision,0.5149171937560932,0.024878041693549784
elastic_net,classification,Recall,0.5119637091182822,0.012665232968220188
elastic_net,classification,F1_Weighted,0.44444536411855456,0.06817825673205131
elastic_net,classification,Kappa,0.023890502099458845,0.025281357047496154
elastic_net,classification,AUC,0.5231429068157958,0.01816187171840284
mlp,regression,MAE,5.798591896809426,0.45388940468335814
mlp,regression,RMSE,7.690835629839017,0.18483502113979544
mlp,regression,R2,0.5582319000414772,0.026470358700593753
mlp,regression,CCC,0.667457052916445,0.026255838229654684
mlp,classification,Accuracy,0.5167575919652939,0.0074072434088659385
mlp,classification,Precision,0.5168166019014698,0.007400498926893673
mlp,classification,Recall,0.5167575919652939,0.0074072434088659385
mlp,classification,F1_Weighted,0.5159179158672067,0.008053089680770306
mlp,classification,Kappa,0.03347761009693602,0.014846139596249107
mlp,classification,AUC,0.5203381440725379,0.007103907750014337
cnn_1d,regression,MAE,5.813217221216943,0.632258225378149
cnn_1d,regression,RMSE,7.732967898900148,0.4634136636185157
cnn_1d,regression,R2,0.5534579061472109,0.0431624537072466
cnn_1d,regression,CCC,0.7061293398286194,0.04243459444769736
cnn_1d,classification,Accuracy,0.5114058754779027,0.019149018572561346
cnn_1d,classification,Precision,0.49946455968939985,0.04639019663255132
cnn_1d,classification,Recall,0.5114058754779027,0.019149018572561346
cnn_1d,classification,F1_Weighted,0.45594856068580275,0.0687102402780409
cnn_1d,classification,Kappa,0.022599067295446362,0.038325533242884444
cnn_1d,classification,AUC,0.5127175609440788,0.016356894385153933
tabnet,regression,MAE,6.06701627360856,0.26528649070735
tabnet,regression,RMSE,8.711770745053574,0.7452840144830425
tabnet,regression,R2,0.43115314533310833,0.09133248474298766
tabnet,regression,CCC,0.5721619934833104,0.05735282550005892
tabnet,classification,Accuracy,0.5091531467284721,0.01186824028053081
tabnet,classification,Precision,0.5092055333448972,0.011997897680005485
tabnet,classification,Recall,0.5091531467284721,0.01186824028053081
tabnet,classification,F1_Weighted,0.5045661816980551,0.015815445654083684
tabnet,classification,Kappa,0.018326994329190004,0.023731590417856437
tabnet,classification,AUC,0.5061701642040883,0.016549248592267717
gnn_embedding,regression,MAE,8.963249355295835,0.10970211793194627
gnn_embedding,regression,RMSE,11.523254429523444,0.5351387344889578
gnn_embedding,regression,R2,0.0068158397631210565,0.09963662992145794
gnn_embedding,regression,CCC,0.1665478955008271,0.029500846367153975
gnn_embedding,classification,Accuracy,0.4880358946930528,0.017403313274351215
gnn_embedding,classification,Precision,0.4880506538991976,0.017613744116654544
gnn_embedding,classification,Recall,0.4880358946930528,0.017403313274351215
gnn_embedding,classification,F1_Weighted,0.4871598218748055,0.01681895609027953
gnn_embedding,classification,Kappa,-0.023912770432603557,0.03479291964705503
gnn_embedding,classification,AUC,0.4923187681238563,0.02534705982552746
federated_gnn,regression,MAE,9.204947237418413,0.17144486303805118
federated_gnn,regression,RMSE,12.504543689589031,1.0847448834210076
federated_gnn,regression,R2,-0.17275912498284562,0.18949496701284843
federated_gnn,regression,CCC,0.14017684743478934,0.0339942882965
federated_gnn,classification,Accuracy,0.5077506388542223,0.013807524357274585
federated_gnn,classification,Precision,0.5077712106357261,0.013809065073366416
federated_gnn,classification,Recall,0.5077506388542223,0.013807524357274585
federated_gnn,classification,F1_Weighted,0.5069478555977109,0.014195795425203805
federated_gnn,classification,Kappa,0.015518790839203312,0.02758649415217837
federated_gnn,classification,AUC,0.5044766978194535,0.017652086362632314
